location,date,time_unit,p_scores_all_ages,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2021_all_ages,time,projected_deaths_2020_all_ages,excess_proj_all_ages,cum_excess_proj_all_ages,cum_proj_deaths_all_ages,cum_p_proj_all_ages,p_proj_all_ages
Albania,2020-01-31T00:00:00.000Z,monthly,-10.65,2187,2447.8,2490,2065,3129,2158,2397,2977,1,2434.2,-247.2,-247.2,2434.2,-10.16,-10.16
Albania,2020-02-29T00:00:00.000Z,monthly,2.17,2018,1975.2,2139,1905,1845,2013,1974,3738,2,1961.6,56.4,-190.8,4395.8,-4.34,2.88
Albania,2020-03-31T00:00:00.000Z,monthly,0.62,1993,1980.8,2051,1910,1817,2136,1990,2942,3,1967.2,25.8,-165,6363,-2.59,1.31
Albania,2020-04-30T00:00:00.000Z,monthly,3.23,1804,1747.6,1906,1652,1665,1828,1687,2406,4,1734,70,-95,8097,-1.17,4.04
Albania,2020-05-31T00:00:00.000Z,monthly,6.15,1803,1698.6,1709,1716,1660,1664,1744,1862,5,1685,118,23,9782,0.24,7
Albania,2020-06-30T00:00:00.000Z,monthly,9.3,1779,1627.6,1561,1678,1605,1576,1718,1509,6,1614,165,188,11396,1.65,10.22
Albania,2020-07-31T00:00:00.000Z,monthly,22.73,2166,1764.8,2008,1643,1788,1641,1744,,7,1751.2,414.8,602.8,13147.2,4.59,23.69
Albania,2020-08-31T00:00:00.000Z,monthly,44.95,2476,1708.2,1687,1578,1833,1709,1734,,8,1694.6,781.4,1384.2,14841.8,9.33,46.11
Albania,2020-09-30T00:00:00.000Z,monthly,29.39,1982,1531.8,1569,1459,1482,1621,1528,,9,1518.2,463.8,1848,16360,11.3,30.55
Albania,2020-10-31T00:00:00.000Z,monthly,44.36,2403,1664.6,1560,1743,1679,1668,1673,,10,1651,752,2600,18011,14.44,45.55
Albania,2020-11-30T00:00:00.000Z,monthly,118.46,3854,1764.2,1728,1855,1716,1730,1792,,11,1750.6,2103.4,4703.4,19761.6,23.8,120.15
Albania,2020-12-31T00:00:00.000Z,monthly,53.58,3140,2044.6,2010,2184,2013,2060,1956,,12,2031,1109,5812.4,21792.6,26.67,54.6
Albania,2021-01-31T00:00:00.000Z,monthly,21.62,,,,,,,,,1,,542.8,6355.2,24226.8,26.23,22.3
Albania,2021-02-28T00:00:00.000Z,monthly,89.25,,,,,,,,,2,,1776.4,8131.6,26188.4,31.05,90.56
Albania,2021-03-31T00:00:00.000Z,monthly,48.53,,,,,,,,,3,,974.8,9106.4,28155.6,32.34,49.55
Albania,2021-04-30T00:00:00.000Z,monthly,37.67,,,,,,,,,4,,672,9778.4,29889.6,32.72,38.75
Albania,2021-05-31T00:00:00.000Z,monthly,9.62,,,,,,,,,5,,177,9955.4,31574.6,31.53,10.5
Albania,2021-06-30T00:00:00.000Z,monthly,-7.29,,,,,,,,,6,,-105,9850.4,33188.6,29.68,-6.51
Albania,2021-07-31T00:00:00.000Z,monthly,,,,,,,,,,7,,,,34939.8,,
Albania,2021-08-31T00:00:00.000Z,monthly,,,,,,,,,,8,,,,36634.4,,
Andorra,2020-01-31T00:00:00.000Z,monthly,3.03,34,33,22,27,49,38,29,,1,34.6,-0.6,-0.6,34.6,-1.73,-1.73
Andorra,2020-02-29T00:00:00.000Z,monthly,40.15,37,26.4,25,21,29,28,29,,2,28,9,8.4,62.6,13.42,32.14
Andorra,2020-03-31T00:00:00.000Z,monthly,29.87,40,30.8,29,31,39,36,19,,3,32.4,7.6,16,95,16.84,23.46
Andorra,2020-04-30T00:00:00.000Z,monthly,163.16,60,22.8,26,19,22,21,26,,4,24.4,35.6,51.6,119.4,43.22,145.9
Andorra,2020-05-31T00:00:00.000Z,monthly,80,36,20,26,22,17,16,19,,5,21.6,14.4,66,141,46.81,66.67
Andorra,2020-06-30T00:00:00.000Z,monthly,7.44,26,24.2,16,25,26,31,23,,6,25.8,0.2,66.2,166.8,39.69,0.78
Andorra,2020-07-31T00:00:00.000Z,monthly,12.4,29,25.8,27,32,17,23,30,,7,27.4,1.6,67.8,194.2,34.91,5.84
Andorra,2020-08-31T00:00:00.000Z,monthly,-19.49,19,23.6,18,34,18,30,18,,8,25.2,-6.2,61.6,219.4,28.08,-24.6
Andorra,2020-09-30T00:00:00.000Z,monthly,14.41,27,23.6,25,16,23,30,24,,9,25.2,1.8,63.4,244.6,25.92,7.14
Andorra,2020-10-31T00:00:00.000Z,monthly,97.67,51,25.8,25,24,24,33,23,,10,27.4,23.6,87,272,31.99,86.13
Andorra,2020-11-30T00:00:00.000Z,monthly,-22.76,19,24.6,16,24,29,24,30,,11,26.2,-7.2,79.8,298.2,26.76,-27.48
Andorra,2020-12-31T00:00:00.000Z,monthly,38.51,41,29.6,27,35,30,25,31,,12,31.2,9.8,89.6,329.4,27.2,31.41
Andorra,2021-01-31T00:00:00.000Z,monthly,,,,,,,,,,1,,,,364,,
Andorra,2021-02-28T00:00:00.000Z,monthly,,,,,,,,,,2,,,,392,,
Andorra,2021-03-31T00:00:00.000Z,monthly,,,,,,,,,,3,,,,424.4,,
Andorra,2021-04-30T00:00:00.000Z,monthly,,,,,,,,,,4,,,,448.8,,
Andorra,2021-05-31T00:00:00.000Z,monthly,,,,,,,,,,5,,,,470.4,,
Andorra,2021-06-30T00:00:00.000Z,monthly,,,,,,,,,,6,,,,496.2,,
Andorra,2021-07-31T00:00:00.000Z,monthly,,,,,,,,,,7,,,,523.6,,
Andorra,2021-08-31T00:00:00.000Z,monthly,,,,,,,,,,8,,,,548.8,,
Antigua and Barbuda,2020-01-31T00:00:00.000Z,monthly,13.29,104,91.8,109,95,77,79,99,,1,87.1,16.9,16.9,87.1,19.4,19.4
Antigua and Barbuda,2020-02-29T00:00:00.000Z,monthly,-7.67,77,83.4,84,89,80,83,81,,2,78.7,-1.7,15.2,165.8,9.17,-2.16
Antigua and Barbuda,2020-03-31T00:00:00.000Z,monthly,-13.15,74,85.2,91,96,82,77,80,,3,80.5,-6.5,8.7,246.3,3.53,-8.07
Antigua and Barbuda,2020-04-30T00:00:00.000Z,monthly,5.12,78,74.2,81,76,72,71,71,,4,69.5,8.5,17.2,315.8,5.45,12.23
Antigua and Barbuda,2020-05-31T00:00:00.000Z,monthly,10.97,85,76.6,75,78,69,78,83,,5,71.9,13.1,30.3,387.7,7.82,18.22
Antigua and Barbuda,2020-06-30T00:00:00.000Z,monthly,4.12,86,82.6,87,73,89,73,91,,6,77.9,8.1,38.4,465.6,8.25,10.4
Antigua and Barbuda,2020-07-31T00:00:00.000Z,monthly,-2.04,77,78.6,96,71,68,70,88,,7,73.9,3.1,41.5,539.5,7.69,4.19
Antigua and Barbuda,2020-08-31T00:00:00.000Z,monthly,-3.47,89,92.2,97,105,82,89,88,,8,87.5,1.5,43,627,6.86,1.71
Antigua and Barbuda,2020-09-30T00:00:00.000Z,monthly,17.17,116,99,98,103,111,81,102,,9,94.3,21.7,64.7,721.3,8.97,23.01
Antigua and Barbuda,2020-10-31T00:00:00.000Z,monthly,21.7,129,106,112,83,133,95,107,,10,101.3,27.7,92.4,822.6,11.23,27.34
Antigua and Barbuda,2020-11-30T00:00:00.000Z,monthly,2.75,112,109,94,103,134,113,101,,11,104.3,7.7,100.1,926.9,10.8,7.38
Antigua and Barbuda,2020-12-31T00:00:00.000Z,monthly,5.56,114,108,135,91,111,106,97,,12,103.3,10.7,110.8,1030.2,10.76,10.36
Antigua and Barbuda,2021-01-31T00:00:00.000Z,monthly,,,,,,,,,,1,,,,1117.3,,
Antigua and Barbuda,2021-02-28T00:00:00.000Z,monthly,,,,,,,,,,2,,,,1196,,
Antigua and Barbuda,2021-03-31T00:00:00.000Z,monthly,,,,,,,,,,3,,,,1276.5,,
Antigua and Barbuda,2021-04-30T00:00:00.000Z,monthly,,,,,,,,,,4,,,,1346,,
Antigua and Barbuda,2021-05-31T00:00:00.000Z,monthly,,,,,,,,,,5,,,,1417.9,,
Antigua and Barbuda,2021-06-30T00:00:00.000Z,monthly,,,,,,,,,,6,,,,1495.8,,
Antigua and Barbuda,2021-07-31T00:00:00.000Z,monthly,,,,,,,,,,7,,,,1569.7,,
Antigua and Barbuda,2021-08-31T00:00:00.000Z,monthly,,,,,,,,,,8,,,,1657.2,,
Argentina,2020-01-31T00:00:00.000Z,monthly,-3.26,25571,26433,25583,27557,26724,26030,26271,,1,26344.3,-773.3,-773.3,26344.3,-2.94,-2.94
Argentina,2020-02-29T00:00:00.000Z,monthly,1.63,24212,23824.8,22728,25416,23774,23518,23688,,2,23736.1,475.9,-297.4,50080.4,-0.59,2
Argentina,2020-03-31T00:00:00.000Z,monthly,-1.39,25639,26001.4,25145,27008,26151,25683,26020,,3,25912.7,-273.7,-571.1,75993.1,-0.75,-1.06
Argentina,2020-04-30T00:00:00.000Z,monthly,-3.82,24959,25951.6,25853,27181,25852,25290,25582,,4,25862.9,-903.9,-1475,101856,-1.45,-3.49
Argentina,2020-05-31T00:00:00.000Z,monthly,-6.26,27541,29379.8,27580,33201,30063,27672,28383,,5,29291.1,-1750.1,-3225.1,131147.1,-2.46,-5.97
Argentina,2020-06-30T00:00:00.000Z,monthly,-12.89,28899,33176.2,29490,36135,37443,31395,31418,,6,33087.5,-4188.5,-7413.6,164234.6,-4.51,-12.66
Argentina,2020-07-31T00:00:00.000Z,monthly,4.6,36033,34448.6,33369,34452,34769,33618,36035,,7,34359.9,1673.1,-5740.5,198594.5,-2.89,4.87
Argentina,2020-08-31T00:00:00.000Z,monthly,16.26,37052,31869.6,31822,31338,29995,33721,32472,,8,31780.9,5271.1,-469.4,230375.4,-0.2,16.59
Argentina,2020-09-30T00:00:00.000Z,monthly,36.65,39973,29251.2,29911,29597,27287,29980,29481,,9,29162.5,10810.5,10341.1,259537.9,3.98,37.07
Argentina,2020-10-31T00:00:00.000Z,monthly,51.48,42554,28091.4,28582,27872,27939,27702,28362,,10,28002.7,14551.3,24892.4,287540.6,8.66,51.96
Argentina,2020-11-30T00:00:00.000Z,monthly,39.59,35421,25375.6,25482,25537,25066,25250,25543,,11,25286.9,10134.1,35026.5,312827.5,11.2,40.08
Argentina,2020-12-31T00:00:00.000Z,monthly,28.11,31141,24308,25016,24823,24215,23650,23836,,12,24219.3,6921.7,41948.2,337046.8,12.45,28.58
Argentina,2021-01-31T00:00:00.000Z,monthly,,,,,,,,,,1,,,,363391.1,,
Argentina,2021-02-28T00:00:00.000Z,monthly,,,,,,,,,,2,,,,387127.2,,
Argentina,2021-03-31T00:00:00.000Z,monthly,,,,,,,,,,3,,,,413039.9,,
Argentina,2021-04-30T00:00:00.000Z,monthly,,,,,,,,,,4,,,,438902.8,,
Argentina,2021-05-31T00:00:00.000Z,monthly,,,,,,,,,,5,,,,468193.9,,
Argentina,2021-06-30T00:00:00.000Z,monthly,,,,,,,,,,6,,,,501281.4,,
Argentina,2021-07-31T00:00:00.000Z,monthly,,,,,,,,,,7,,,,535641.3,,
Argentina,2021-08-31T00:00:00.000Z,monthly,,,,,,,,,,8,,,,567422.2,,
Armenia,2020-01-31T00:00:00.000Z,monthly,-5.89,2567,2727.6,2582,2722,3027,2534,2773,3089,1,2585.9,-18.9,-18.9,2585.9,-0.73,-0.73
Armenia,2020-02-29T00:00:00.000Z,monthly,2.26,2434,2380.2,2363,2576,2442,2273,2247,2418,2,2238.5,195.5,176.6,4824.4,3.66,8.73
Armenia,2020-03-31T00:00:00.000Z,monthly,-6.6,2288,2449.6,2763,2349,2568,2215,2353,2836,3,2307.9,-19.9,156.7,7132.3,2.2,-0.86
Armenia,2020-04-30T00:00:00.000Z,monthly,-2.9,2156,2220.4,2442,2243,2246,1968,2203,3361,4,2078.7,77.3,234,9211,2.54,3.72
Armenia,2020-05-31T00:00:00.000Z,monthly,-6.72,2103,2254.4,2197,2247,2323,2220,2285,2633,5,2112.7,-9.7,224.3,11323.7,1.98,-0.46
Armenia,2020-06-30T00:00:00.000Z,monthly,38.05,2869,2078.2,2288,2169,2103,1902,1929,2290,6,1936.5,932.5,1156.8,13260.2,8.72,48.15
Armenia,2020-07-31T00:00:00.000Z,monthly,26.37,2719,2151.6,2176,2103,2063,2347,2069,2247,7,2009.9,709.1,1865.9,15270.1,12.22,35.28
Armenia,2020-08-31T00:00:00.000Z,monthly,1.09,2106,2083.2,2149,2127,2174,1972,1994,,8,1941.5,164.5,2030.4,17211.6,11.8,8.47
Armenia,2020-09-30T00:00:00.000Z,monthly,12.72,2042,1811.6,1949,1891,1712,1704,1802,,9,1669.9,372.1,2402.5,18881.5,12.72,22.28
Armenia,2020-10-31T00:00:00.000Z,monthly,71.71,3632,2115.2,2101,2233,2142,2086,2014,,10,1973.5,1658.5,4061,20855,19.47,84.04
Armenia,2020-11-30T00:00:00.000Z,monthly,161.57,6060,2316.8,2349,2476,2263,2317,2179,,11,2175.1,3884.9,7945.9,23030.1,34.5,178.61
Armenia,2020-12-31T00:00:00.000Z,monthly,78.76,4395,2458.6,2485,2993,2304,2107,2404,,12,2316.9,2078.1,10024,25347,39.55,89.69
Armenia,2021-01-31T00:00:00.000Z,monthly,13.25,,,,,,,,,1,,503.1,10527.1,27932.9,37.69,19.46
Armenia,2021-02-28T00:00:00.000Z,monthly,1.59,,,,,,,,,2,,179.5,10706.6,30171.4,35.49,8.02
Armenia,2021-03-31T00:00:00.000Z,monthly,15.77,,,,,,,,,3,,528.1,11234.7,32479.3,34.59,22.88
Armenia,2021-04-30T00:00:00.000Z,monthly,51.37,,,,,,,,,4,,1282.3,12517,34558,36.22,61.69
Armenia,2021-05-31T00:00:00.000Z,monthly,16.79,,,,,,,,,5,,520.3,13037.3,36670.7,35.55,24.63
Armenia,2021-06-30T00:00:00.000Z,monthly,10.19,,,,,,,,,6,,353.5,13390.8,38607.2,34.68,18.25
Armenia,2021-07-31T00:00:00.000Z,monthly,4.43,,,,,,,,,7,,237.1,13627.9,40617.1,33.55,11.8
Armenia,2021-08-31T00:00:00.000Z,monthly,,,,,,,,,,8,,,,42558.6,,
Aruba,2020-01-31T00:00:00.000Z,monthly,15,69,60,51,64,66,70,49,,1,57.7,11.3,11.3,57.7,19.58,19.58
Aruba,2020-02-29T00:00:00.000Z,monthly,-6.35,56,59.8,55,64,62,63,55,,2,57.5,-1.5,9.8,115.2,8.51,-2.61
Aruba,2020-03-31T00:00:00.000Z,monthly,22.92,74,60.2,57,70,50,60,64,,3,57.9,16.1,25.9,173.1,14.96,27.81
Aruba,2020-04-30T00:00:00.000Z,monthly,-2.6,60,61.6,63,71,58,66,50,,4,59.3,0.7,26.6,232.4,11.45,1.18
Aruba,2020-05-31T00:00:00.000Z,monthly,-27.02,47,64.4,62,80,63,62,55,,5,62.1,-15.1,11.5,294.5,3.9,-24.32
Aruba,2020-06-30T00:00:00.000Z,monthly,10.7,60,54.2,47,62,61,49,52,,6,51.9,8.1,19.6,346.4,5.66,15.61
Aruba,2020-07-31T00:00:00.000Z,monthly,-17.25,47,56.8,42,63,58,65,56,,7,54.5,-7.5,12.1,400.9,3.02,-13.76
Aruba,2020-08-31T00:00:00.000Z,monthly,9.37,63,57.6,55,62,63,55,53,,8,55.3,7.7,19.8,456.2,4.34,13.92
Aruba,2020-09-30T00:00:00.000Z,monthly,52.99,82,53.6,53,50,63,46,56,,9,51.3,30.7,50.5,507.5,9.95,59.84
Aruba,2020-10-31T00:00:00.000Z,monthly,23.26,71,57.6,48,64,56,57,63,,10,55.3,15.7,66.2,562.8,11.76,28.39
Aruba,2020-11-30T00:00:00.000Z,monthly,-6.56,57,61,68,61,56,68,52,,11,58.7,-1.7,64.5,621.5,10.38,-2.9
Aruba,2020-12-31T00:00:00.000Z,monthly,-9.52,57,63,78,70,51,56,60,,12,60.7,-3.7,60.8,682.2,8.91,-6.1
Aruba,2021-01-31T00:00:00.000Z,monthly,,,,,,,,,,1,,,,739.9,,
Aruba,2021-02-28T00:00:00.000Z,monthly,,,,,,,,,,2,,,,797.4,,
Aruba,2021-03-31T00:00:00.000Z,monthly,,,,,,,,,,3,,,,855.3,,
Aruba,2021-04-30T00:00:00.000Z,monthly,,,,,,,,,,4,,,,914.6,,
Aruba,2021-05-31T00:00:00.000Z,monthly,,,,,,,,,,5,,,,976.7,,
Aruba,2021-06-30T00:00:00.000Z,monthly,,,,,,,,,,6,,,,1028.6,,
Aruba,2021-07-31T00:00:00.000Z,monthly,,,,,,,,,,7,,,,1083.1,,
Aruba,2021-08-31T00:00:00.000Z,monthly,,,,,,,,,,8,,,,1138.4,,
Australia,2020-01-05T00:00:00.000Z,weekly,0.47,2510,2498.2,2513,2452,2497,2456,2573,2608,1,2581.6,-71.6,-71.6,2581.6,-2.77,-2.77
Australia,2020-01-12T00:00:00.000Z,weekly,1.33,2523,2489.8,2369,2523,2518,2438,2601,2535,2,2573.2,-50.2,-121.8,5154.8,-2.36,-1.95
Australia,2020-01-19T00:00:00.000Z,weekly,2.05,2516,2465.4,2368,2485,2437,2430,2607,2698,3,2548.8,-32.8,-154.6,7703.6,-2.01,-1.29
Australia,2020-01-26T00:00:00.000Z,weekly,7.06,2619,2446.4,2355,2328,2493,2491,2565,2544,4,2529.8,89.2,-65.4,10233.4,-0.64,3.53
Australia,2020-02-02T00:00:00.000Z,weekly,2.91,2522,2450.8,2270,2498,2420,2550,2516,2678,5,2534.2,-12.2,-77.6,12767.6,-0.61,-0.48
Australia,2020-02-09T00:00:00.000Z,weekly,3.71,2547,2455.8,2460,2357,2524,2368,2570,2564,6,2539.2,7.8,-69.8,15306.8,-0.46,0.31
Australia,2020-02-16T00:00:00.000Z,weekly,6.68,2628,2463.4,2387,2392,2488,2456,2594,2540,7,2546.8,81.2,11.4,17853.6,0.06,3.19
Australia,2020-02-23T00:00:00.000Z,weekly,5.7,2630,2488.2,2322,2391,2571,2488,2669,2660,8,2571.6,58.4,69.8,20425.2,0.34,2.27
Australia,2020-03-01T00:00:00.000Z,weekly,8.37,2695,2486.8,2417,2365,2518,2524,2610,2639,9,2570.2,124.8,194.6,22995.4,0.85,4.86
Australia,2020-03-08T00:00:00.000Z,weekly,3.54,2614,2524.6,2451,2446,2663,2519,2544,2713,10,2608,6,200.6,25603.4,0.78,0.23
Australia,2020-03-15T00:00:00.000Z,weekly,4.89,2589,2468.2,2346,2412,2436,2539,2608,2678,11,2551.6,37.4,238,28155,0.85,1.47
Australia,2020-03-22T00:00:00.000Z,weekly,7.64,2706,2514,2451,2507,2553,2502,2557,2665,12,2597.4,108.6,346.6,30752.4,1.13,4.18
Australia,2020-03-29T00:00:00.000Z,weekly,10.62,2781,2514,2432,2471,2475,2572,2620,2684,13,2597.4,183.6,530.2,33349.8,1.59,7.07
Australia,2020-04-05T00:00:00.000Z,weekly,13.51,2873,2531,2441,2575,2631,2424,2584,2583,14,2614.4,258.6,788.8,35964.2,2.19,9.89
Australia,2020-04-12T00:00:00.000Z,weekly,8.79,2796,2570,2518,2560,2581,2500,2691,2838,15,2653.4,142.6,931.4,38617.6,2.41,5.37
Australia,2020-04-19T00:00:00.000Z,weekly,4.02,2692,2588,2483,2520,2642,2629,2666,2822,16,2671.4,20.6,952,41289,2.31,0.77
Australia,2020-04-26T00:00:00.000Z,weekly,5.84,2714,2564.2,2588,2515,2621,2477,2620,2808,17,2647.6,66.4,1018.4,43936.6,2.32,2.51
Australia,2020-05-03T00:00:00.000Z,weekly,2.3,2667,2607,2644,2496,2584,2650,2661,2950,18,2690.4,-23.4,995,46627,2.13,-0.87
Australia,2020-05-10T00:00:00.000Z,weekly,3.51,2822,2726.2,2729,2598,2730,2759,2815,2897,19,2809.6,12.4,1007.4,49436.6,2.04,0.44
Australia,2020-05-17T00:00:00.000Z,weekly,-0.88,2710,2734,2695,2634,2763,2767,2811,2911,20,2817.4,-107.4,900,52254,1.72,-3.81
Australia,2020-05-24T00:00:00.000Z,weekly,0.66,2819,2800.6,2668,2783,2766,2878,2908,3025,21,2884,-65,835,55138,1.51,-2.25
Australia,2020-05-31T00:00:00.000Z,weekly,-0.54,2808,2823.2,2658,2828,2826,2845,2959,,22,2906.6,-98.6,736.4,58044.6,1.27,-3.39
Australia,2020-06-07T00:00:00.000Z,weekly,-4.2,2748,2868.6,2740,2850,2874,2918,2961,,23,2952,-204,532.4,60996.6,0.87,-6.91
Australia,2020-06-14T00:00:00.000Z,weekly,-2.87,2745,2826.2,2766,2685,2871,2770,3039,,24,2909.6,-164.6,367.8,63906.2,0.58,-5.66
Australia,2020-06-21T00:00:00.000Z,weekly,-5.98,2687,2857.8,2694,2837,2822,2905,3031,,25,2941.2,-254.2,113.6,66847.4,0.17,-8.64
Australia,2020-06-28T00:00:00.000Z,weekly,-7.29,2680,2890.6,2777,2839,2914,2914,3009,,26,2974,-294,-180.4,69821.4,-0.26,-9.89
Australia,2020-07-05T00:00:00.000Z,weekly,-6.43,2768,2958.2,2847,2917,3027,2969,3031,,27,3041.6,-273.6,-454,72863,-0.62,-9
Australia,2020-07-12T00:00:00.000Z,weekly,-5.25,2799,2954,2948,2925,3099,2836,2962,,28,3037.4,-238.4,-692.4,75900.4,-0.91,-7.85
Australia,2020-07-19T00:00:00.000Z,weekly,-7.97,2770,3010,2930,2884,3251,2929,3056,,29,3093.4,-323.4,-1015.8,78993.8,-1.29,-10.45
Australia,2020-07-26T00:00:00.000Z,weekly,-4.5,2925,3062.8,2966,2928,3248,3067,3105,,30,3146.2,-221.2,-1237,82140,-1.51,-7.03
Australia,2020-08-02T00:00:00.000Z,weekly,-1.91,2955,3012.4,2977,2915,3329,2918,2923,,31,3095.8,-140.8,-1377.8,85235.8,-1.62,-4.55
Australia,2020-08-09T00:00:00.000Z,weekly,-2.5,2949,3024.6,3010,2918,3303,2836,3056,,32,3108,-159,-1536.8,88343.8,-1.74,-5.12
Australia,2020-08-16T00:00:00.000Z,weekly,-0.06,3066,3067.8,3040,3037,3251,2972,3039,,33,3151.2,-85.2,-1622,91495,-1.77,-2.7
Australia,2020-08-23T00:00:00.000Z,weekly,-6.29,2891,3085,3109,3036,3280,2916,3084,,34,3168.4,-277.4,-1899.4,94663.4,-2.01,-8.76
Australia,2020-08-30T00:00:00.000Z,weekly,-7.1,2878,3097.8,2994,3068,3369,3051,3007,,35,3181.2,-303.2,-2202.6,97844.6,-2.25,-9.53
Australia,2020-09-06T00:00:00.000Z,weekly,-4.46,2894,3029.2,3060,2934,3178,2893,3081,,36,3112.6,-218.6,-2421.2,100957.2,-2.4,-7.02
Australia,2020-09-13T00:00:00.000Z,weekly,-5,2823,2971.6,2996,2891,3293,2738,2940,,37,3055,-232,-2653.2,104012.2,-2.55,-7.59
Australia,2020-09-20T00:00:00.000Z,weekly,-6.85,2713,2912.6,2933,2768,3173,2749,2940,,38,2996,-283,-2936.2,107008.2,-2.74,-9.45
Australia,2020-09-27T00:00:00.000Z,weekly,-0.43,2794,2806,2767,2851,2913,2775,2724,,39,2889.4,-95.4,-3031.6,109897.6,-2.76,-3.3
Australia,2020-10-04T00:00:00.000Z,weekly,-0.84,2796,2819.6,2745,2808,2924,2752,2869,,40,2903,-107,-3138.6,112800.6,-2.78,-3.69
Australia,2020-10-11T00:00:00.000Z,weekly,-2.99,2669,2751.4,2693,2775,2793,2745,2751,,41,2834.8,-165.8,-3304.4,115635.4,-2.86,-5.85
Australia,2020-10-18T00:00:00.000Z,weekly,-2.54,2639,2707.8,2622,2759,2701,2713,2744,,42,2791.2,-152.2,-3456.6,118426.6,-2.92,-5.45
Australia,2020-10-25T00:00:00.000Z,weekly,-2.15,2597,2654,2550,2773,2598,2615,2734,,43,2737.4,-140.4,-3597,121164,-2.97,-5.13
Australia,2020-11-01T00:00:00.000Z,weekly,0.46,2650,2637.8,2518,2688,2645,2649,2689,,44,2721.2,-71.2,-3668.2,123885.2,-2.96,-2.62
Australia,2020-11-08T00:00:00.000Z,weekly,2.53,2675,2609,2523,2764,2509,2632,2617,,45,2692.4,-17.4,-3685.6,126577.6,-2.91,-0.65
Australia,2020-11-15T00:00:00.000Z,weekly,7.12,2726,2544.8,2402,2578,2560,2529,2655,,46,2628.2,97.8,-3587.8,129205.8,-2.78,3.72
Australia,2020-11-22T00:00:00.000Z,weekly,1.43,2624,2587,2512,2649,2540,2630,2604,,47,2670.4,-46.4,-3634.2,131876.2,-2.76,-1.74
Australia,2020-11-29T00:00:00.000Z,weekly,0.24,2552,2546,2507,2520,2533,2568,2602,,48,2629.4,-77.4,-3711.6,134505.6,-2.76,-2.94
Australia,2020-12-06T00:00:00.000Z,weekly,7.56,2696,2506.6,2450,2381,2540,2573,2589,,49,2590,106,-3605.6,137095.6,-2.63,4.09
Australia,2020-12-13T00:00:00.000Z,weekly,2.14,2626,2571,2523,2535,2599,2594,2604,,50,2654.4,-28.4,-3634,139750,-2.6,-1.07
Australia,2020-12-20T00:00:00.000Z,weekly,4.49,2632,2518.8,2443,2541,2539,2534,2537,,51,2602.2,29.8,-3604.2,142352.2,-2.53,1.15
Australia,2020-12-27T00:00:00.000Z,weekly,7.61,2645,2458,2345,2558,2376,2535,2476,,52,2541.4,103.6,-3500.6,144893.6,-2.42,4.08
Australia,2021-01-03T00:00:00.000Z,weekly,4.31,2564,2458,,,,,,,53,2541.4,22.6,-3478,147435,-2.36,0.89
Australia,2021-01-10T00:00:00.000Z,weekly,4.4,,,,,,,,,1,,26.4,-3451.6,150016.6,-2.3,1.02
Australia,2021-01-17T00:00:00.000Z,weekly,1.82,,,,,,,,,2,,-38.2,-3489.8,152589.8,-2.29,-1.48
Australia,2021-01-24T00:00:00.000Z,weekly,9.43,,,,,,,,,3,,149.2,-3340.6,155138.6,-2.15,5.85
Australia,2021-01-31T00:00:00.000Z,weekly,3.99,,,,,,,,,4,,14.2,-3326.4,157668.4,-2.11,0.56
Australia,2021-02-07T00:00:00.000Z,weekly,9.27,,,,,,,,,5,,143.8,-3182.6,160202.6,-1.99,5.67
Australia,2021-02-14T00:00:00.000Z,weekly,4.41,,,,,,,,,6,,24.8,-3157.8,162741.8,-1.94,0.98
Australia,2021-02-21T00:00:00.000Z,weekly,3.11,,,,,,,,,7,,-6.8,-3164.6,165288.6,-1.91,-0.27
Australia,2021-02-28T00:00:00.000Z,weekly,6.9,,,,,,,,,8,,88.4,-3076.2,167860.2,-1.83,3.44
Australia,2021-03-07T00:00:00.000Z,weekly,6.12,,,,,,,,,9,,68.8,-3007.4,170430.4,-1.76,2.68
Australia,2021-03-14T00:00:00.000Z,weekly,7.46,,,,,,,,,10,,105,-2902.4,173038.4,-1.68,4.03
Australia,2021-03-21T00:00:00.000Z,weekly,8.5,,,,,,,,,11,,126.4,-2776,175590,-1.58,4.95
Australia,2021-03-28T00:00:00.000Z,weekly,6.01,,,,,,,,,12,,67.6,-2708.4,178187.4,-1.52,2.6
Australia,2021-04-04T00:00:00.000Z,weekly,6.76,,,,,,,,,13,,86.6,-2621.8,180784.8,-1.45,3.33
Australia,2021-04-11T00:00:00.000Z,weekly,2.05,,,,,,,,,14,,-31.4,-2653.2,183399.2,-1.45,-1.2
Australia,2021-04-18T00:00:00.000Z,weekly,10.43,,,,,,,,,15,,184.6,-2468.6,186052.6,-1.33,6.96
Australia,2021-04-25T00:00:00.000Z,weekly,9.04,,,,,,,,,16,,150.6,-2318,188724,-1.23,5.64
Australia,2021-05-02T00:00:00.000Z,weekly,9.51,,,,,,,,,17,,160.4,-2157.6,191371.6,-1.13,6.06
Australia,2021-05-09T00:00:00.000Z,weekly,13.16,,,,,,,,,18,,259.6,-1898,194062,-0.98,9.65
Australia,2021-05-16T00:00:00.000Z,weekly,6.27,,,,,,,,,19,,87.4,-1810.6,196871.6,-0.92,3.11
